Campus,Term,Career,Class Nbr,Subject,Catalog Nbr,Title,Class Section,Course ID,Component Units,Facility ID,Meeting Start,Meeting End,Standard Meeting Pattern,Last Name,Initials,Enrollment Capacity,Enrollment Total,Learning Mode Descr
SDSU,Fall 2023,UGRD,5679,A E,123,The Aerospace Engineer,1001,4039,1,HT140,1:00 PM,1:50 PM,W,Fogel,G,190,186,Face-to-face
SDSU,Fall 2023,UGRD,6514,M E,190,Computer-Aided Design,6002,37991,1,E221,6:00 PM,8:40 PM,F,Lee,A,40,40,Face-to-face
SDSU,Fall 2023,UGRD,6518,M E,200,Statics,2001,36647,3,HH214,9:30 AM,10:45 AM,TR,Adibi Sedeh,S,80,80,Face-to-face
SDSU,Fall 2023,UGRD,6734,M E,220,Dynamics,1001,36648,3,SH123,4:00 PM,5:15 PM,MW,Naseradinmousavi,P,70,26,Face-to-face
SDSU,Fall 2023,UGRD,6735,M E,220,Dynamics,2001,36648,3,PSFA350,2:00 PM,3:15 PM,TR,Pakravan,A,80,61,Face-to-face
SDSU,Fall 2023,UGRD,5878,A E, 460A,Aerosp Engr Applications,2001,36811,1,M245,8:00 AM,8:50 AM,M,Machuca Varela,P,60,52,Face-to-face
SDSU,Fall 2023,UGRD,5879,A E, 460A,Aerosp Engr Applications,2002,36811,1,M245,9:00 AM,9:50 AM,M,Machuca Varela,P,60,52,Face-to-face
SDSU,Fall 2023,UGRD,5880,A E, 460A,Aerosp Engr Applications,2003,36811,1,M245,10:00 AM,10:40 AM,M,Machuca Varela,P,60,52,Face-to-face
SDSU,Fall 2023,UGRD,5881,A E,499,Special Study,1001,33692,3,,,,ARR,Lu,P,5,0,Face-to-face
SDSU,Fall 2023,UGRD,5883,A E,535,Mech of Composites Struct,1001,38018,3,GMCS329,7:00 PM,8:15 PM,TR,Capriotti,M,40,9,Face-to-face
SDSU,Fall 2023,UGRD,5884,A E,550,Viscous Flow,1001,34188,3,PS140,12:30 PM,1:45 PM,MW,Jacobs,G,25,24,Face-to-face
SDSU,Fall 2023,GRAD,5889,A E,601,Computational Fluid Mech,1001,15446,3,AH3127,3:30 PM,4:45 PM,TR,Popov,P,30,10,Face-to-face
SDSU,Fall 2023,GRAD,7800,CIV E,797,Independent Research,1001,23594,3,,,,ARR,Zhao,D,1,0,Face-to-face
SDSU,Fall 2023,GRAD,11151,M E,696,Intro to Mcro/Nanofluidcs,1001,39020,3,E201,7:00 PM,8:15 PM,TR,Park,S,40,9,Face-to-face
SDSU,Fall 2023,GRAD,12179,M E,797,Research,3007,2344,3,,,,ARR,Camacho,J,10,2,Face-to-face
SDSU,Fall 2023,GRAD,12187,CIV E,620,Traffic Flow Control,1,23451,3,E132,1:00 PM,3:40 PM,T,Ghanipoor Machiani,S,8,8,Face-to-face
SDSU,Fall 2023,GRAD,11767,A E,600,Est of Dynamic Systems,1001,38172,3,E427,7:00 PM,8:15 PM,MW,Bani Younes,A,25,12,Face-to-face
SDSU,Fall 2023,UGRD,12808,A E, 460A,Aerosp Engr Applications,3003,36811,1,M245,10:00 AM,10:50 AM,M,Machuca Varela,P,30,0,Face-to-face
SDSU,Fall 2023,UGRD,12809,A E, 460A,Aerosp Engr Applications,3002,36811,1,M245,9:00 AM,9:50 AM,M,Machuca Varela,P,30,0,Face-to-face
SDSU,Fall 2023,GRAD,13014,E E, 799A,Thesis or Project,2,1142,3,,,,ARR,Paolini,C,10,0,Face-to-face
SDSU,Fall 2023,GRAD,13014,E E, 799A,Thesis or Project,2,1142,3,,,,ARR,Dallo,B,10,0,Face-to-face
SDSU,Fall 2023,GRAD,13014,E E, 799A,Thesis or Project,2,1142,3,,,,ARR,Sanchez,C,10,0,Face-to-face
SDSU,Fall 2023,GRAD,13014,E E, 799A,Thesis or Project,2,1142,3,,,,ARR,Fakhoury,S,10,0,Face-to-face
SDSU,Fall 2023,GRAD,13014,E E, 799A,Thesis or Project,2,1142,3,,,,ARR,Flandez,A,10,0,Face-to-face
SDSU,Fall 2023,GRAD,2384,E E,645,Antennas & Propagation,1001,36404,3,LH340,5:30 PM,6:45 PM,TR,Sharma,S,40,15,Face-to-face
SDSU,Fall 2023,GRAD,2385,E E,650,Modern Commun Theory I,1001,1130,3,E427,3:30 PM,4:45 PM,TR,Nagaraj,S,40,21,Face-to-face
SDSU,Fall 2023,GRAD,2388,E E,662,Wireless Sensor Networks,1001,29405,3,SH104,4:00 PM,5:15 PM,MW,Ozturk,Y,40,7,Face-to-face
SDSU,Fall 2023,GRAD,2389,E E,671,Vlsi Testing,1001,38776,3,AH2134,2:00 PM,3:15 PM,MW,Huang,K,20,15,Face-to-face
SDSU,Fall 2023,UGRD,2542,E E,310,Circuit Analysis II,2001,39336,3,E300,8:00 AM,9:15 AM,TR,Manshadi,S,49,25,Face-to-face
SDSU,Fall 2023,UGRD,2543,E E, 584L,Power Electronics Lab,1001,35893,1,E101G,11:00 AM,1:40 PM,W,Sabzehgar,R,16,4,Face-to-face
